0,1,2,3,4,5,6,7,8,9,10
onions,instant coffee,,,,,,,,,
whole milk,whipped/sour cream,,,,,,,,,
soda,pastry,,,,,,,,,
condensed milk,rolls/buns,organic products,,,,,,,,
ice cream,curd,,,,,,,,,
liver loaf,frozen vegetables,soda,curd,,,,,,,
other vegetables,long life bakery product,,,,,,,,,
frankfurter,tropical fruit,frozen meals,soda,,,,,,,
canned beer,yogurt,,,,,,,,,
long life bakery product,sweet spreads,,,,,,,,,
butter milk,rolls/buns,,,,,,,,,
whole milk,nuts/prunes,,,,,,,,,
light bulbs,pastry,domestic eggs,,,,,,,,
instant coffee,processed cheese,,,,,,,,,
frankfurter,whole milk,other vegetables,root vegetables,,,,,,,
frankfurter,shopping bags,frozen vegetables,,,,,,,,
soda,bottled water,,,,,,,,,
UHT-milk,soda,,,,,,,,,
hard cheese,mayonnaise,,,,,,,,,
cat food,rolls/buns,,,,,,,,,
meat,other vegetables,,,,,,,,,
margarine,whole milk,,,,,,,,,
beef,newspapers,,,,,,,,,
ham,other vegetables,,,,,,,,,
napkins,spices,,,,,,,,,
meat,chocolate,,,,,,,,,
sausage,berries,rolls/buns,,,,,,,,
specialty chocolate,onions,,,,,,,,,
grapes,grapes,,,,,,,,,
canned beer,soda,newspapers,,,,,,,,
ice cream,other vegetables,,,,,,,,,
yogurt,frozen vegetables,,,,,,,,,
fruit/vegetable juice,chocolate,,,,,,,,,
frozen fish,sausage,other vegetables,canned beer,yogurt,shopping bags,beverages,chewing gum,canned beer,,
semi-finished bread,waffles,,,,,,,,,
whole milk,whole milk,candles,,,,,,,,
white wine,soft cheese,,,,,,,,,
root vegetables,tropical fruit,bottled water,white bread,processed cheese,yogurt,beverages,,,,
newspapers,root vegetables,pastry,margarine,,,,,,,
tropical fruit,chicken,beef,pasta,onions,long life bakery product,whole milk,jam,,,
citrus fruit,other vegetables,,,,,,,,,
hamburger meat,hygiene articles,,,,,,,,,
frozen fish,curd,,,,,,,,,
pasta,shopping bags,,,,,,,,,
tropical fruit,soda,,,,,,,,,
ice cream,soda,,,,,,,,,
canned fish,rolls/buns,chocolate,artif. sweetener,,,,,,,
margarine,dishes,,,,,,,,,
whole milk,frozen fish,,,,,,,,,
nuts/prunes,canned beer,other vegetables,shopping bags,,,,,,,
chicken,rolls/buns,,,,,,,,,
dessert,other vegetables,,,,,,,,,
pork,brown bread,,,,,,,,,
rolls/buns,shopping bags,cat food,,,,,,,,
citrus fruit,coffee,,,,,,,,,
hamburger meat,bottled beer,coffee,instant coffee,yogurt,,,,,,
photo/film,citrus fruit,chewing gum,,,,,,,,
pip fruit,bottled water,,,,,,,,,
ice cream,whole milk,,,,,,,,,
salty snack,napkins,yogurt,brown bread,,,,,,,
pork,finished products,ice cream,shopping bags,rolls/buns,,,,,,
salty snack,whole milk,,,,,,,,,
frankfurter,dessert,,,,,,,,,
ice cream,shopping bags,,,,,,,,,
coffee,tropical fruit,,,,,,,,,
pork,soda,,,,,,,,,
yogurt,rolls/buns,,,,,,,,,
yogurt,other vegetables,,,,,,,,,
whipped/sour cream,root vegetables,,,,,,,,,
baking powder,pet care,yogurt,frozen vegetables,,,,,,,
herbs,root vegetables,,,,,,,,,
citrus fruit,specialty bar,domestic eggs,,,,,,,,
tropical fruit,yogurt,,,,,,,,,
photo/film,whole milk,,,,,,,,,
condensed milk,hard cheese,,,,,,,,,
beef,berries,,,,,,,,,
soda,shopping bags,canned beer,,,,,,,,
domestic eggs,bottled water,,,,,,,,,
beef,grapes,,,,,,,,,
grapes,curd,,,,,,,,,
bottled beer,brown bread,whole milk,misc. beverages,,,,,,,
softener,margarine,,,,,,,,,
butter,margarine,,,,,,,,,
canned beer,potato products,,,,,,,,,
UHT-milk,other vegetables,,,,,,,,,
yogurt,canned beer,,,,,,,,,
sausage,whole milk,,,,,,,,,
hamburger meat,newspapers,,,,,,,,,
detergent,other vegetables,oil,beverages,rolls/buns,specialty bar,,,,,
detergent,pot plants,,,,,,,,,
citrus fruit,candy,,,,,,,,,
rum,rolls/buns,,,,,,,,,
butter,whole milk,,,,,,,,,
frankfurter,pastry,,,,,,,,,
pip fruit,rolls/buns,specialty chocolate,,,,,,,,
rolls/buns,whipped/sour cream,,,,,,,,,
canned beer,whole milk,frankfurter,frankfurter,dishes,rolls/buns,pip fruit,canned vegetables,,,
frankfurter,beef,,,,,,,,,
sausage,brown bread,,,,,,,,,
citrus fruit,cat food,,,,,,,,,
sausage,dessert,rolls/buns,pickled vegetables,,,,,,,
yogurt,coffee,coffee,,,,,,,,
other vegetables,soda,,,,,,,,,
whole milk,meat spreads,,,,,,,,,
bottled water,specialty bar,,,,,,,,,
soda,spread cheese,,,,,,,,,
whole milk,other vegetables,red/blush wine,coffee,other vegetables,bottled water,bottled water,sugar,,,
frankfurter,salty snack,house keeping products,,,,,,,,
rolls/buns,grapes,domestic eggs,,,,,,,,
pip fruit,butter,,,,,,,,,
citrus fruit,newspapers,,,,,,,,,
citrus fruit,butter,rolls/buns,,,,,,,,
ketchup,potato products,,,,,,,,,
chicken,vinegar,,,,,,,,,
frankfurter,zwieback,other vegetables,liquor,bottled water,,,,,,
tropical fruit,frozen dessert,newspapers,,,,,,,,
sausage,butter,,,,,,,,,
yogurt,pip fruit,,,,,,,,,
root vegetables,other vegetables,,,,,,,,,
sausage,whole milk,rolls/buns,bottled beer,,,,,,,
soda,beverages,rolls/buns,curd,,,,,,,
pip fruit,soda,,,,,,,,,
other vegetables,whipped/sour cream,,,,,,,,,
female sanitary products,dishes,,,,,,,,,
other vegetables,photo/film,,,,,,,,,
liquor (appetizer),onions,,,,,,,,,
pip fruit,curd,coffee,rolls/buns,,,,,,,
specialty bar,pastry,,,,,,,,,
margarine,processed cheese,candles,shopping bags,,,,,,,
sausage,brandy,,,,,,,,,
sausage,dog food,,,,,,,,,
pip fruit,nut snack,napkins,,,,,,,,
grapes,bottled water,napkins,,,,,,,,
pork,condensed milk,oil,,,,,,,,
other vegetables,canned vegetables,canned beer,,,,,,,,
whipped/sour cream,hard cheese,,,,,,,,,
ham,hard cheese,,,,,,,,,
whole milk,sausage,spread cheese,hygiene articles,,,,,,,
bottled beer,whole milk,,,,,,,,,
bottled water,tropical fruit,,,,,,,,,
pastry,butter,,,,,,,,,
pip fruit,salty snack,,,,,,,,,
whole milk,pip fruit,frozen vegetables,soda,,,,,,,
fruit/vegetable juice,salt,,,,,,,,,
whipped/sour cream,shopping bags,,,,,,,,,
beef,bottled water,,,,,,,,,
grapes,yogurt,condensed milk,,,,,,,,
other vegetables,butter milk,,,,,,,,,
brown bread,processed cheese,,,,,,,,,
brown bread,shopping bags,soda,,,,,,,,
berries,condensed milk,whipped/sour cream,,,,,,,,
sausage,sausage,tropical fruit,pip fruit,,,,,,,
frankfurter,other vegetables,,,,,,,,,
frankfurter,canned beer,,,,,,,,,
whole milk,bottled water,soda,,,,,,,,
pip fruit,white wine,shopping bags,,,,,,,,
yogurt,chicken,soda,,,,,,,,
yogurt,processed cheese,,,,,,,,,
liquor,sugar,,,,,,,,,
root vegetables,bottled water,,,,,,,,,
shopping bags,waffles,,,,,,,,,
yogurt,rolls/buns,,,,,,,,,
citrus fruit,beef,whipped/sour cream,other vegetables,,,,,,,
liver loaf,whipped/sour cream,,,,,,,,,
yogurt,red/blush wine,margarine,,,,,,,,
frankfurter,pip fruit,whole milk,other vegetables,salty snack,whipped/sour cream,,,,,
instant coffee,chewing gum,,,,,,,,,
whole milk,citrus fruit,shopping bags,white wine,soda,yogurt,,,,,
citrus fruit,berries,,,,,,,,,
citrus fruit,cling film/bags,hard cheese,,,,,,,,
yogurt,rolls/buns,rolls/buns,,,,,,,,
waffles,whole milk,meat spreads,,,,,,,,
brown bread,soda,,,,,,,,,
bottled beer,canned fish,yogurt,,,,,,,,
hamburger meat,soft cheese,yogurt,margarine,,,,,,,
pastry,pastry,,,,,,,,,
pork,bottled beer,,,,,,,,,
berries,rolls/buns,,,,,,,,,
candy,margarine,butter,,,,,,,,
rolls/buns,candy,onions,,,,,,,,
bottled water,yogurt,newspapers,soda,,,,,,,
dishes,chewing gum,,,,,,,,,
frozen potato products,domestic eggs,shopping bags,butter milk,,,,,,,
liquor,curd,yogurt,tropical fruit,,,,,,,
frankfurter,berries,,,,,,,,,
processed cheese,frozen potato products,Instant food products,,,,,,,,
other vegetables,other vegetables,,,,,,,,,
chicken,fruit/vegetable juice,,,,,,,,,
sausage,bottled water,,,,,,,,,
sausage,other vegetables,,,,,,,,,
whole milk,pickled vegetables,,,,,,,,,
tropical fruit,bottled beer,other vegetables,oil,,,,,,,
citrus fruit,yogurt,,,,,,,,,
shopping bags,detergent,,,,,,,,,
shopping bags,cream cheese ,,,,,,,,,
brown bread,newspapers,,,,,,,,,
root vegetables,waffles,,,,,,,,,
rolls/buns,grapes,yogurt,rolls/buns,whole milk,rolls/buns,,,,,
frankfurter,rolls/buns,,,,,,,,,
shopping bags,butter,,,,,,,,,
domestic eggs,hard cheese,,,,,,,,,
other vegetables,sugar,,,,,,,,,
hard cheese,tropical fruit,,,,,,,,,
hard cheese,rolls/buns,,,,,,,,,
cereals,cream cheese ,other vegetables,,,,,,,,
tropical fruit,margarine,,,,,,,,,
sausage,butter,yogurt,yogurt,,,,,,,
sausage,other vegetables,,,,,,,,,
newspapers,domestic eggs,,,,,,,,,
rolls/buns,shopping bags,,,,,,,,,
pip fruit,pork,,,,,,,,,
hard cheese,specialty bar,,,,,,,,,
chicken,frozen vegetables,candles,,,,,,,,
beef,shopping bags,,,,,,,,,
other vegetables,butter,,,,,,,,,
dessert,root vegetables,,,,,,,,,
other vegetables,bottled water,,,,,,,,,
shopping bags,domestic eggs,,,,,,,,,
root vegetables,hard cheese,,,,,,,,,
beef,beef,whole milk,,,,,,,,
berries,bottled beer,,,,,,,,,
beef,sparkling wine,frozen fish,chewing gum,,,,,,,
soda,whipped/sour cream,,,,,,,,,
citrus fruit,onions,,,,,,,,,
chocolate marshmallow,yogurt,soda,,,,,,,,
pastry,pasta,,,,,,,,,
ham,waffles,,,,,,,,,
whipped/sour cream,other vegetables,honey,,,,,,,,
tropical fruit,dessert,,,,,,,,,
hamburger meat,chicken,,,,,,,,,
beverages,specialty bar,,,,,,,,,
frankfurter,brown bread,,,,,,,,,
coffee,rolls/buns,,,,,,,,,
margarine,sausage,snack products,butter,whipped/sour cream,,,,,,
tropical fruit,beverages,,,,,,,,,
whole milk,canned vegetables,,,,,,,,,
pip fruit,whipped/sour cream,,,,,,,,,
dishes,pastry,,,,,,,,,
butter,chocolate,,,,,,,,,
meat,butter,,,,,,,,,
frankfurter,onions,,,,,,,,,
canned beer,root vegetables,,,,,,,,,
finished products,ice cream,tropical fruit,whole milk,,,,,,,
whole milk,seasonal products,,,,,,,,,
newspapers,roll products ,,,,,,,,,
canned beer,root vegetables,,,,,,,,,
honey,yogurt,spices,chocolate,,,,,,,
frozen fish,mustard,,,,,,,,,
beef,whipped/sour cream,,,,,,,,,
dessert,UHT-milk,margarine,,,,,,,,
sausage,sugar,semi-finished bread,,,,,,,,
root vegetables,other vegetables,,,,,,,,,
other vegetables,rolls/buns,,,,,,,,,
root vegetables,red/blush wine,salty snack,,,,,,,,
citrus fruit,pet care,,,,,,,,,
pip fruit,bottled water,,,,,,,,,
onions,canned fruit,,,,,,,,,
rolls/buns,chicken,cream cheese ,dishes,,,,,,,
turkey,UHT-milk,,,,,,,,,
dish cleaner,whole milk,,,,,,,,,
pork,herbs,,,,,,,,,
misc. beverages,salt,candy,,,,,,,,
canned beer,soda,frozen vegetables,,,,,,,,
chewing gum,whole milk,bottled beer,ready soups,,,,,,,
pastry,rolls/buns,,,,,,,,,
brown bread,pip fruit,,,,,,,,,
other vegetables,canned beer,whole milk,,,,,,,,
whipped/sour cream,whipped/sour cream,,,,,,,,,
sausage,whole milk,,,,,,,,,
whole milk,candles,yogurt,,,,,,,,
margarine,sausage,sausage,pork,citrus fruit,yogurt,frozen meals,other vegetables,,,
oil,bottled water,,,,,,,,,
cream cheese ,shopping bags,,,,,,,,,
white bread,flour,,,,,,,,,
whole milk,berries,,,,,,,,,
rolls/buns,whole milk,shopping bags,,,,,,,,
yogurt,soda,frozen fish,,,,,,,,
whole milk,citrus fruit,,,,,,,,,
citrus fruit,pastry,dish cleaner,,,,,,,,
yogurt,newspapers,,,,,,,,,
hamburger meat,hard cheese,,,,,,,,,
whipped/sour cream,grapes,yogurt,spread cheese,,,,,,,
other vegetables,pork,,,,,,,,,
berries,specialty cheese,,,,,,,,,
frozen vegetables,domestic eggs,,,,,,,,,
whole milk,pastry,napkins,,,,,,,,
whole milk,bottled water,coffee,,,,,,,,
citrus fruit,soda,,,,,,,,,
citrus fruit,citrus fruit,,,,,,,,,
whole milk,frankfurter,domestic eggs,flour,,,,,,,
salty snack,other vegetables,yogurt,other vegetables,,,,,,,
other vegetables,pot plants,vinegar,,,,,,,,
frankfurter,hamburger meat,,,,,,,,,
chicken,pastry,,,,,,,,,
soda,long life bakery product,,,,,,,,,
pastry,butter milk,hygiene articles,,,,,,,,
soda,dishes,,,,,,,,,
chicken,yogurt,hygiene articles,brown bread,,,,,,,
snack products,liquor (appetizer),,,,,,,,,
root vegetables,whole milk,,,,,,,,,
pork,rolls/buns,,,,,,,,,
zwieback,sausage,whole milk,soda,canned beer,hygiene articles,,,,,
finished products,yogurt,,,,,,,,,
domestic eggs,softener,,,,,,,,,
other vegetables,margarine,brown bread,,,,,,,,
pip fruit,frozen potato products,,,,,,,,,
frankfurter,coffee,,,,,,,,,
soda,yogurt,,,,,,,,,
processed cheese,canned vegetables,,,,,,,,,
pork,herbs,,,,,,,,,
meat,bottled water,soda,,,,,,,,
canned beer,margarine,,,,,,,,,
pickled vegetables,soda,,,,,,,,,
liver loaf,chicken,rolls/buns,spread cheese,shopping bags,,,,,,
fruit/vegetable juice,butter,rolls/buns,,,,,,,,
pip fruit,dog food,soft cheese,packaged fruit/vegetables,pastry,domestic eggs,,,,,
newspapers,salty snack,,,,,,,,,
butter,syrup,pickled vegetables,whole milk,,,,,,,
liver loaf,margarine,cat food,,,,,,,,
ham,rolls/buns,rolls/buns,chewing gum,,,,,,,
dessert,beverages,frozen meals,red/blush wine,,,,,,,
salty snack,rolls/buns,,,,,,,,,
beef,hamburger meat,newspapers,rum,meat spreads,whipped/sour cream,,,,,
butter,whole milk,,,,,,,,,
baking powder,fruit/vegetable juice,,,,,,,,,
sliced cheese,soda,oil,syrup,,,,,,,
canned beer,rolls/buns,softener,,,,,,,,
citrus fruit,yogurt,,,,,,,,,
shopping bags,shopping bags,,,,,,,,,
tropical fruit,butter,dog food,,,,,,,,
whole milk,frozen potato products,,,,,,,,,
canned beer,other vegetables,fruit/vegetable juice,,,,,,,,
pastry,other vegetables,,,,,,,,,
beef,shopping bags,,,,,,,,,
root vegetables,other vegetables,,,,,,,,,
butter,root vegetables,,,,,,,,,
pork,grapes,,,,,,,,,
sausage,pork,sugar,,,,,,,,
onions,rolls/buns,,,,,,,,,
berries,fruit/vegetable juice,rolls/buns,,,,,,,,
pasta,pot plants,liquor,,,,,,,,
beef,spices,,,,,,,,,
pickled vegetables,onions,,,,,,,,,
other vegetables,coffee,,,,,,,,,
whole milk,citrus fruit,butter,dental care,,,,,,,
hard cheese,rolls/buns,root vegetables,napkins,,,,,,,
curd,long life bakery product,,,,,,,,,
tropical fruit,newspapers,specialty chocolate,margarine,,,,,,,
beef,rolls/buns,,,,,,,,,
waffles,instant coffee,,,,,,,,,
rolls/buns,frozen meals,,,,,,,,,
whole milk,soda,,,,,,,,,
citrus fruit,whole milk,pastry,other vegetables,,,,,,,
berries,herbs,,,,,,,,,
whole milk,frozen dessert,popcorn,,,,,,,,
curd,dessert,,,,,,,,,
other vegetables,rum,bottled water,,,,,,,,
rolls/buns,other vegetables,,,,,,,,,
whole milk,curd,hygiene articles,,,,,,,,
soda,pastry,,,,,,,,,
whole milk,rolls/buns,,,,,,,,,
root vegetables,sugar,bottled water,white bread,,,,,,,
coffee,white wine,,,,,,,,,
yogurt,pet care,,,,,,,,,
frozen meals,other vegetables,specialty chocolate,,,,,,,,
yogurt,pasta,butter,rolls/buns,,,,,,,
chocolate,frankfurter,yogurt,margarine,canned vegetables,,,,,,
meat,photo/film,,,,,,,,,
chewing gum,soft cheese,,,,,,,,,
frozen meals,dental care,,,,,,,,,
vinegar,whole milk,bottled beer,,,,,,,,
whole milk,sausage,,,,,,,,,
yogurt,herbs,pastry,whipped/sour cream,canned fish,,,,,,
bottled water,salty snack,,,,,,,,,
pork,other vegetables,,,,,,,,,
hamburger meat,red/blush wine,,,,,,,,,
tropical fruit,pip fruit,,,,,,,,,
sausage,soda,,,,,,,,,
house keeping products,rolls/buns,mayonnaise,,,,,,,,
shopping bags,white wine,,,,,,,,,
root vegetables,dog food,,,,,,,,,
other vegetables,berries,candy,sliced cheese,,,,,,,
canned fruit,detergent,,,,,,,,,
rolls/buns,waffles,,,,,,,,,
soda,whole milk,,,,,,,,,
beverages,hamburger meat,other vegetables,canned beer,,,,,,,
other vegetables,whole milk,,,,,,,,,
frankfurter,whipped/sour cream,,,,,,,,,
meat,whole milk,bottled water,mayonnaise,,,,,,,
newspapers,flour,frozen fish,cream cheese ,,,,,,,
whole milk,soft cheese,soda,brown bread,,,,,,,
coffee,detergent,rolls/buns,pasta,,,,,,,
bottled water,other vegetables,pastry,rolls/buns,domestic eggs,,,,,,
tropical fruit,citrus fruit,newspapers,,,,,,,,
soda,soda,canned fruit,processed cheese,soda,shopping bags,,,,,
fruit/vegetable juice,whipped/sour cream,hygiene articles,,,,,,,,
fruit/vegetable juice,salty snack,candy,dental care,butter,,,,,,
whipped/sour cream,soft cheese,,,,,,,,,
brown bread,domestic eggs,,,,,,,,,
herbs,newspapers,newspapers,rolls/buns,,,,,,,
rolls/buns,frozen vegetables,,,,,,,,,
kitchen utensil,bottled water,rolls/buns,pasta,bottled water,,,,,,
other vegetables,root vegetables,bottled water,,,,,,,,
whole milk,whole milk,,,,,,,,,
yogurt,soda,yogurt,,,,,,,,
sliced cheese,root vegetables,,,,,,,,,
tropical fruit,frozen dessert,,,,,,,,,
grapes,long life bakery product,,,,,,,,,
semi-finished bread,flour,,,,,,,,,
cake bar,flower soil/fertilizer,,,,,,,,,
condensed milk,rolls/buns,,,,,,,,,
other vegetables,pip fruit,white bread,,,,,,,,
frozen fish,coffee,,,,,,,,,
long life bakery product,brown bread,popcorn,,,,,,,,
rolls/buns,soda,,,,,,,,,
sausage,dessert,,,,,,,,,
tropical fruit,soda,frozen meals,,,,,,,,
hard cheese,processed cheese,,,,,,,,,
flour,tropical fruit,,,,,,,,,
misc. beverages,soft cheese,,,,,,,,,
UHT-milk,frozen fish,,,,,,,,,
butter milk,dessert,,,,,,,,,
other vegetables,soft cheese,,,,,,,,,
chicken,pastry,,,,,,,,,
onions,chocolate,,,,,,,,,
whole milk,coffee,,,,,,,,,
spread cheese,yogurt,soda,shopping bags,,,,,,,
brown bread,white wine,,,,,,,,,
tropical fruit,yogurt,pip fruit,yogurt,yogurt,,,,,,
canned beer,pip fruit,rolls/buns,brown bread,soft cheese,shopping bags,,,,,
cling film/bags,fruit/vegetable juice,,,,,,,,,
fruit/vegetable juice,dental care,,,,,,,,,
ham,bottled water,,,,,,,,,
beverages,cake bar,,,,,,,,,
frankfurter,whipped/sour cream,citrus fruit,whole milk,dishes,,,,,,
detergent,whole milk,,,,,,,,,
chicken,herbs,soda,,,,,,,,
whole milk,pip fruit,tropical fruit,soda,,,,,,,
ham,dessert,yogurt,,,,,,,,
citrus fruit,rolls/buns,,,,,,,,,
citrus fruit,whole milk,curd,chocolate marshmallow,,,,,,,
other vegetables,ice cream,,,,,,,,,
whole milk,onions,,,,,,,,,
rolls/buns,red/blush wine,,,,,,,,,
frozen fish,whipped/sour cream,,,,,,,,,
pip fruit,coffee,,,,,,,,,
turkey,packaged fruit/vegetables,,,,,,,,,
rolls/buns,soda,,,,,,,,,
ham,soda,pickled vegetables,,,,,,,,
house keeping products,salty snack,semi-finished bread,other vegetables,whole milk,domestic eggs,chocolate marshmallow,whole milk,,,
UHT-milk,newspapers,bottled water,,,,,,,,
candles,chewing gum,,,,,,,,,
bottled beer,frozen vegetables,sliced cheese,,,,,,,,
other vegetables,sliced cheese,,,,,,,,,
domestic eggs,cream cheese ,,,,,,,,,
whole milk,cream cheese ,,,,,,,,,
brown bread,onions,,,,,,,,,
rolls/buns,soft cheese,,,,,,,,,
whole milk,pastry,,,,,,,,,
whole milk,ice cream,detergent,rolls/buns,,,,,,,
sausage,specialty cheese,,,,,,,,,
rolls/buns,shopping bags,,,,,,,,,
butter,soda,oil,,,,,,,,
whole milk,red/blush wine,,,,,,,,,
rolls/buns,tropical fruit,bottled beer,UHT-milk,newspapers,,,,,,
dishes,shopping bags,,,,,,,,,
pip fruit,UHT-milk,,,,,,,,,
whole milk,rolls/buns,instant coffee,,,,,,,,
other vegetables,dishes,,,,,,,,,
root vegetables,mayonnaise,,,,,,,,,
soda,pastry,frozen vegetables,UHT-milk,,,,,,,
pip fruit,napkins,,,,,,,,,
soda,napkins,,,,,,,,,
pip fruit,rolls/buns,,,,,,,,,
tropical fruit,rolls/buns,,,,,,,,,
brown bread,rolls/buns,sliced cheese,,,,,,,,
whole milk,margarine,,,,,,,,,
whole milk,canned vegetables,,,,,,,,,
herbs,root vegetables,,,,,,,,,
misc. beverages,bottled water,,,,,,,,,
UHT-milk,berries,,,,,,,,,
whole milk,shopping bags,,,,,,,,,
tropical fruit,specialty bar,,,,,,,,,
oil,bottled beer,,,,,,,,,
herbs,spread cheese,rolls/buns,,,,,,,,
canned beer,whole milk,,,,,,,,,
grapes,other vegetables,,,,,,,,,
chicken,root vegetables,whole milk,rolls/buns,,,,,,,
bottled beer,fruit/vegetable juice,fruit/vegetable juice,,,,,,,,
other vegetables,soda,,,,,,,,,
whole milk,hamburger meat,,,,,,,,,
rolls/buns,UHT-milk,,,,,,,,,
root vegetables,flower (seeds),,,,,,,,,
rolls/buns,fruit/vegetable juice,,,,,,,,,
tropical fruit,salty snack,,,,,,,,,
other vegetables,ice cream,pork,salt,,,,,,,
frozen vegetables,dessert,,,,,,,,,
sausage,oil,whole milk,,,,,,,,
specialty bar,specialty chocolate,,,,,,,,,
herbs,grapes,butter,,,,,,,,
sausage,yogurt,,,,,,,,,
newspapers,pastry,,,,,,,,,
decalcifier,whole milk,,,,,,,,,
beverages,prosecco,,,,,,,,,
other vegetables,yogurt,brown bread,,,,,,,,
citrus fruit,whole milk,,,,,,,,,
sliced cheese,liquor,hygiene articles,,,,,,,,
butter,sliced cheese,,,,,,,,,
chewing gum,domestic eggs,packaged fruit/vegetables,,,,,,,,
whipped/sour cream,sweet spreads,,,,,,,,,
rolls/buns,other vegetables,,,,,,,,,
beef,citrus fruit,napkins,semi-finished bread,brown bread,,,,,,
cream cheese ,margarine,,,,,,,,,
whole milk,other vegetables,,,,,,,,,
mustard,whipped/sour cream,,,,,,,,,
pastry,bottled beer,,,,,,,,,
hamburger meat,rolls/buns,,,,,,,,,
berries,other vegetables,,,,,,,,,
bottled water,frozen vegetables,,,,,,,,,
brandy,dessert,,,,,,,,,
white bread,domestic eggs,,,,,,,,,
sausage,tropical fruit,,,,,,,,,
coffee,brown bread,whole milk,sweet spreads,,,,,,,
pasta,oil,,,,,,,,,
tropical fruit,hamburger meat,bottled beer,yogurt,,,,,,,
beverages,dessert,,,,,,,,,
chicken,whole milk,whole milk,chewing gum,,,,,,,
hamburger meat,root vegetables,,,,,,,,,
soda,root vegetables,,,,,,,,,
tropical fruit,pastry,rolls/buns,,,,,,,,
fruit/vegetable juice,rolls/buns,,,,,,,,,
tropical fruit,cream cheese ,,,,,,,,,
coffee,napkins,,,,,,,,,
berries,sausage,tropical fruit,butter,,,,,,,
whole milk,bottled water,whipped/sour cream,,,,,,,,
packaged fruit/vegetables,house keeping products,,,,,,,,,
domestic eggs,bottled beer,,,,,,,,,
soda,salty snack,,,,,,,,,
hamburger meat,rolls/buns,,,,,,,,,
pork,candles,,,,,,,,,
bottled beer,rolls/buns,,,,,,,,,
pastry,soda,detergent,,,,,,,,
pip fruit,white bread,,,,,,,,,
coffee,tidbits,,,,,,,,,
whole milk,white bread,,,,,,,,,
brown bread,curd,,,,,,,,,
sugar,canned vegetables,,,,,,,,,
bottled beer,other vegetables,root vegetables,cream cheese ,waffles,rolls/buns,,,,,
citrus fruit,whipped/sour cream,,,,,,,,,
bottled water,shopping bags,dog food,,,,,,,,
pip fruit,other vegetables,bottled water,,,,,,,,
chicken,pork,frozen fish,,,,,,,,
pork,whole milk,,,,,,,,,
tropical fruit,specialty chocolate,,,,,,,,,
oil,butter milk,cling film/bags,pastry,,,,,,,
other vegetables,canned fish,,,,,,,,,
meat,whole milk,,,,,,,,,
beef,whole milk,,,,,,,,,
bottled beer,frankfurter,UHT-milk,pot plants,,,,,,,
sausage,pork,,,,,,,,,
sausage,domestic eggs,,,,,,,,,
tea,pip fruit,,,,,,,,,
pip fruit,frozen vegetables,whipped/sour cream,whipped/sour cream,,,,,,,
citrus fruit,bottled water,,,,,,,,,
yogurt,rolls/buns,,,,,,,,,
curd,whipped/sour cream,,,,,,,,,
soda,pip fruit,,,,,,,,,
salty snack,frozen meals,,,,,,,,,
citrus fruit,shopping bags,tropical fruit,frankfurter,brown bread,rubbing alcohol,domestic eggs,whole milk,,,
other vegetables,sliced cheese,,,,,,,,,
citrus fruit,whole milk,specialty cheese,,,,,,,,
soda,newspapers,,,,,,,,,
citrus fruit,other vegetables,,,,,,,,,
root vegetables,pastry,soda,,,,,,,,
whole milk,salty snack,rolls/buns,,,,,,,,
fish,pot plants,coffee,,,,,,,,
chicken,beverages,coffee,,,,,,,,
cake bar,soda,,,,,,,,,
soda,frozen meals,,,,,,,,,
pastry,other vegetables,,,,,,,,,
red/blush wine,bottled water,sweet spreads,,,,,,,,
ice cream,dishes,,,,,,,,,
coffee,whole milk,canned fruit,,,,,,,,
rolls/buns,bottled water,other vegetables,finished products,other vegetables,butter,yogurt,rolls/buns,citrus fruit,,
rolls/buns,margarine,whole milk,liquor (appetizer),,,,,,,
bottled beer,fruit/vegetable juice,,,,,,,,,
ham,domestic eggs,,,,,,,,,
pork,frozen meals,,,,,,,,,
root vegetables,whole milk,zwieback,,,,,,,,
white bread,yogurt,,,,,,,,,
frankfurter,UHT-milk,sliced cheese,,,,,,,,
pickled vegetables,yogurt,,,,,,,,,
berries,other vegetables,butter,newspapers,,,,,,,
other vegetables,hygiene articles,,,,,,,,,
citrus fruit,soda,,,,,,,,,
pork,whole milk,,,,,,,,,
yogurt,white bread,,,,,,,,,
herbs,pork,sugar,hard cheese,long life bakery product,,,,,,
condensed milk,onions,,,,,,,,,
sugar,curd,,,,,,,,,
whipped/sour cream,whipped/sour cream,fruit/vegetable juice,,,,,,,,
root vegetables,pickled vegetables,,,,,,,,,
pork,butter,napkins,seasonal products,coffee,,,,,,
newspapers,sausage,,,,,,,,,
whole milk,yogurt,domestic eggs,newspapers,,,,,,,
yogurt,whole milk,yogurt,chewing gum,,,,,,,
frankfurter,soda,whipped/sour cream,,,,,,,,
semi-finished bread,yogurt,,,,,,,,,
other vegetables,pip fruit,domestic eggs,,,,,,,,
light bulbs,detergent,,,,,,,,,
onions,canned beer,,,,,,,,,
other vegetables,beef,yogurt,,,,,,,,
shopping bags,whole milk,,,,,,,,,
tropical fruit,sausage,ham,root vegetables,turkey,pastry,pasta,soda,,,
root vegetables,tropical fruit,,,,,,,,,
berries,white wine,,,,,,,,,
processed cheese,root vegetables,,,,,,,,,
whole milk,whole milk,,,,,,,,,
pastry,red/blush wine,pickled vegetables,,,,,,,,
